
Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Derrick Henry,395,2219,5.6,28,11,91,8.3,0,406,2310,5.7,28
2,Kenyan Drake,77,408,5.3,1,29,276,9.5,1,106,684,6.5,2
3,Jake Coker,74,68,0.9,2,,,,,74,68,0.9,2
4,Damien Harris,46,157,3.4,1,4,13,3.3,0,50,170,3.4,1
5,Bo Scarbrough,18,104,5.8,1,,,,,18,104,5.8,1
6,Derrick Gore,6,15,2.5,0,,,,,6,15,2.5,0
7,Ronnie Clark,5,20,4.0,0,,,,,5,20,4.0,0
8,Ardarius Stewart,5,14,2.8,0,63,700,11.1,4,68,714,10.5,4
9,Cooper Bateman,5,8,1.6,0,,,,,5,8,1.6,0
10,Calvin Ridley,1,2,2.0,0,89,1045,11.7,7,90,1047,11.6,7
11,Xavian Marks,1,0,0.0,0,2,19,9.5,0,3,19,6.3,0
12,O.J. Howard,,,,,38,602,15.8,2,38,602,15.8,2
13,Richard Mullaney,,,,,38,390,10.3,5,38,390,10.3,5
14,Robert Foster,,,,,10,116,11.6,2,10,116,11.6,2
15,Cam Sims,,,,,6,46,7.7,0,6,46,7.7,0
16,Ty Flournoy-Smith,,,,,3,48,16.0,0,3,48,16.0,0
17,Chris Black,,,,,2,23,11.5,0,2,23,11.5,0
18,Dylan Charlot,,,,,2,9,4.5,0,2,9,4.5,0
19,Michael Nysewander,,,,,1,19,19.0,1,1,19,19.0,1
20,Dakota Ball,,,,,1,8,8.0,0,1,8,8.0,0
21,Hale Hentges,,,,,1,5,5.0,0,1,5,5.0,0
22,Derek Kief,,,,,1,-3,-3.0,0,1,-3,-3.0,0
